point_A,point_B,n_vuelos,lat_A,long_A,lat_B,long_B,description
Guadalajara,Puerto Escondido,20,20.68758,-103.35104,15.87124,-97.08704,Se realizaron 20 vuelos entre los aeropuertos de Guadalajara y Puerto Escondido en Enero 2022
Guadalajara,Puerto Vallarta,298,20.68758,-103.35104,20.60841,-105.23525,Se realizaron 298 vuelos entre los aeropuertos de Guadalajara y Puerto Vallarta en Enero 2022
Guadalajara,Queretaro,30,20.68758,-103.35104,20.59209,-100.39601,Se realizaron 30 vuelos entre los aeropuertos de Guadalajara y Queretaro en Enero 2022
Guadalajara,Reynosa,42,20.68758,-103.35104,26.09279,-98.27749,Se realizaron 42 vuelos entre los aeropuertos de Guadalajara y Reynosa en Enero 2022
Guadalajara,San José Del Cabo,150,20.68758,-103.35104,23.0769,-109.70915,Se realizaron 150 vuelos entre los aeropuertos de Guadalajara y San José Del Cabo en Enero 2022
Guadalajara,San Luis Potosi,33,20.68758,-103.35104,22.15271,-100.97663,Se realizaron 33 vuelos entre los aeropuertos de Guadalajara y San Luis Potosi en Enero 2022
Guadalajara,Tapachula,24,20.68758,-103.35104,14.91117,-92.2646,Se realizaron 24 vuelos entre los aeropuertos de Guadalajara y Tapachula en Enero 2022
Guadalajara,Tijuana,1108,20.68758,-103.35104,32.53507,-117.04097,"Se realizaron 1,108 vuelos entre los aeropuertos de Guadalajara y Tijuana en Enero 2022"
Guadalajara,Torreon,22,20.68758,-103.35104,25.53938,-103.45327,Se realizaron 22 vuelos entre los aeropuertos de Guadalajara y Torreon en Enero 2022
Guadalajara,Tuxtla Gutierrez,100,20.68758,-103.35104,16.75519,-93.11544,Se realizaron 100 vuelos entre los aeropuertos de Guadalajara y Tuxtla Gutierrez en Enero 2022
Guadalajara,Veracruz,124,20.68758,-103.35104,19.19535,-96.13683,Se realizaron 124 vuelos entre los aeropuertos de Guadalajara y Veracruz en Enero 2022
Guadalajara,Villahermosa,36,20.68758,-103.35104,17.99864,-92.90197,Se realizaron 36 vuelos entre los aeropuertos de Guadalajara y Villahermosa en Enero 2022
Hermosillo,La Paz,54,29.07455,-110.95912,24.16185,-110.31322,Se realizaron 54 vuelos entre los aeropuertos de Hermosillo y La Paz en Enero 2022
Hermosillo,Mexicali,38,29.07455,-110.95912,32.6411,-115.4745,Se realizaron 38 vuelos entre los aeropuertos de Hermosillo y Mexicali en Enero 2022
Hermosillo,Ciudad de Mexico,523,29.07455,-110.95912,19.43194,-99.13315,Se realizaron 523 vuelos entre los aeropuertos de Hermosillo y Ciudad de Mexico en Enero 2022
Hermosillo,Monterrey,76,29.07455,-110.95912,25.67093,-100.30999,Se realizaron 76 vuelos entre los aeropuertos de Hermosillo y Monterrey en Enero 2022
