city,country,n_vuelos,lat,long,description
Phoenix,United States,100,33.44825,-112.0758,Se realizaron 100 vuelos entre los aeropuertos de Guadalajara (Mexico) y Phoenix (United States) en Enero 2022
Portland,United States,50,45.51179,-122.67563,Se realizaron 50 vuelos entre los aeropuertos de Guadalajara (Mexico) y Portland (United States) en Enero 2022
Reno,United States,36,39.52766,-119.81353,Se realizaron 36 vuelos entre los aeropuertos de Guadalajara (Mexico) y Reno (United States) en Enero 2022
Sacramento,United States,128,38.57944,-121.49085,Se realizaron 128 vuelos entre los aeropuertos de Guadalajara (Mexico) y Sacramento (United States) en Enero 2022
Salt Lake City,United States,62,40.76031,-111.88822,Se realizaron 62 vuelos entre los aeropuertos de Guadalajara (Mexico) y Salt Lake City (United States) en Enero 2022
San Antonio,United States,72,29.42458,-98.49461,Se realizaron 72 vuelos entre los aeropuertos de Guadalajara (Mexico) y San Antonio (United States) en Enero 2022
San Francisco,United States,54,37.77712,-122.41966,Se realizaron 54 vuelos entre los aeropuertos de Guadalajara (Mexico) y San Francisco (United States) en Enero 2022
San Jose,United States,148,37.33865,-121.88542,Se realizaron 148 vuelos entre los aeropuertos de Guadalajara (Mexico) y San Jose (United States) en Enero 2022
Seattle,United States,66,47.60357,-122.32945,Se realizaron 66 vuelos entre los aeropuertos de Guadalajara (Mexico) y Seattle (United States) en Enero 2022
Seoul,South Korea,28,37.566,126.9784,Se realizaron 28 vuelos entre los aeropuertos de Guadalajara (Mexico) y Seoul (South Korea) en Enero 2022
Phoenix,United States,73,33.44825,-112.0758,Se realizaron 73 vuelos entre los aeropuertos de Hermosillo (Mexico) y Phoenix (United States) en Enero 2022
Toronto,Canada,12,43.653524,-79.383907,Se realizaron 12 vuelos entre los aeropuertos de Huatulco (Mexico) y Toronto (Canada) en Enero 2022
Vancouver,Canada,18,49.261636,-123.11335,Se realizaron 18 vuelos entre los aeropuertos de Huatulco (Mexico) y Vancouver (Canada) en Enero 2022
Los Angeles,United States,45,34.05357,-118.24545,Se realizaron 45 vuelos entre los aeropuertos de Ixtapa Zihuatanejo (Mexico) y Los Angeles (United States) en Enero 2022
Minneapolis,United States,18,44.97902,-93.26494,Se realizaron 18 vuelos entre los aeropuertos de Ixtapa Zihuatanejo (Mexico) y Minneapolis (United States) en Enero 2022
Phoenix,United States,12,33.44825,-112.0758,Se realizaron 12 vuelos entre los aeropuertos de Ixtapa Zihuatanejo (Mexico) y Phoenix (United States) en Enero 2022
San Francisco,United States,8,37.77712,-122.41966,Se realizaron 8 vuelos entre los aeropuertos de Ixtapa Zihuatanejo (Mexico) y San Francisco (United States) en Enero 2022
Saskatoon,Canada,4,52.130736,-106.660152,Se realizaron 4 vuelos entre los aeropuertos de Ixtapa Zihuatanejo (Mexico) y Saskatoon (Canada) en Enero 2022
Phoenix,United States,42,33.44825,-112.0758,Se realizaron 42 vuelos entre los aeropuertos de La Paz (Mexico) y Phoenix (United States) en Enero 2022
Los Angeles,United States,44,34.05357,-118.24545,Se realizaron 44 vuelos entre los aeropuertos de Loreto (Mexico) y Los Angeles (United States) en Enero 2022
Phoenix,United States,30,33.44825,-112.0758,Se realizaron 30 vuelos entre los aeropuertos de Loreto (Mexico) y Phoenix (United States) en Enero 2022
San Francisco,United States,6,37.77712,-122.41966,Se realizaron 6 vuelos entre los aeropuertos de Loreto (Mexico) y San Francisco (United States) en Enero 2022
Phoenix,United States,8,33.44825,-112.0758,Se realizaron 8 vuelos entre los aeropuertos de Manzanillo (Mexico) y Phoenix (United States) en Enero 2022
Minneapolis,United States,18,44.97902,-93.26494,Se realizaron 18 vuelos entre los aeropuertos de Mazatlan (Mexico) y Minneapolis (United States) en Enero 2022
Ottawa,Canada,8,45.425226,-75.699963,Se realizaron 8 vuelos entre los aeropuertos de Mazatlan (Mexico) y Ottawa (Canada) en Enero 2022
Phoenix,United States,72,33.44825,-112.0758,Se realizaron 72 vuelos entre los aeropuertos de Mazatlan (Mexico) y Phoenix (United States) en Enero 2022
Regina,Canada,8,50.448119,-104.615859,Se realizaron 8 vuelos entre los aeropuertos de Mazatlan (Mexico) y Regina (Canada) en Enero 2022
San Francisco,United States,10,37.77712,-122.41966,Se realizaron 10 vuelos entre los aeropuertos de Mazatlan (Mexico) y San Francisco (United States) en Enero 2022
Saskatoon,Canada,4,52.130736,-106.660152,Se realizaron 4 vuelos entre los aeropuertos de Mazatlan (Mexico) y Saskatoon (Canada) en Enero 2022
Toronto,Canada,8,43.653524,-79.383907,Se realizaron 8 vuelos entre los aeropuertos de Mazatlan (Mexico) y Toronto (Canada) en Enero 2022
Vancouver,Canada,16,49.261636,-123.11335,Se realizaron 16 vuelos entre los aeropuertos de Mazatlan (Mexico) y Vancouver (Canada) en Enero 2022
Miami,United States,86,25.77481,-80.19773,Se realizaron 86 vuelos entre los aeropuertos de Merida (Mexico) y Miami (United States) en Enero 2022
Nueva York,United States,1,40.71453,-74.00712,Se realizaron 1 vuelos entre los aeropuertos de Merida (Mexico) y Nueva York (United States) en Enero 2022
Quito,Ecuador,2,-0.20567,-78.50887,Se realizaron 2 vuelos entre los aeropuertos de Merida (Mexico) y Quito (Ecuador) en Enero 2022
Toronto,Canada,8,43.653524,-79.383907,Se realizaron 8 vuelos entre los aeropuertos de Merida (Mexico) y Toronto (Canada) en Enero 2022
Miami,United States,547,25.77481,-80.19773,Se realizaron 547 vuelos entre los aeropuertos de Mexico City (Mexico) y Miami (United States) en Enero 2022
Minneapolis,United States,56,44.97902,-93.26494,Se realizaron 56 vuelos entre los aeropuertos de Mexico City (Mexico) y Minneapolis (United States) en Enero 2022
Montreal,Canada,102,45.508867,-73.554242,Se realizaron 102 vuelos entre los aeropuertos de Mexico City (Mexico) y Montreal (Canada) en Enero 2022
Munich,Germany,26,48.13641,11.57754,Se realizaron 26 vuelos entre los aeropuertos de Mexico City (Mexico) y Munich (Germany) en Enero 2022
Newark,United States,118,40.73197,-74.17421,Se realizaron 118 vuelos entre los aeropuertos de Mexico City (Mexico) y Newark (United States) en Enero 2022
Nueva York,United States,297,40.71453,-74.00712,Se realizaron 297 vuelos entre los aeropuertos de Mexico City (Mexico) y Nueva York (United States) en Enero 2022
Oakland,United States,36,37.80508,-122.27307,Se realizaron 36 vuelos entre los aeropuertos de Mexico City (Mexico) y Oakland (United States) en Enero 2022
Ontario,United States,18,34.06457,-117.6481,Se realizaron 18 vuelos entre los aeropuertos de Mexico City (Mexico) y Ontario (United States) en Enero 2022
Orlando,United States,130,28.53823,-81.37739,Se realizaron 130 vuelos entre los aeropuertos de Mexico City (Mexico) y Orlando (United States) en Enero 2022
Panama,Panama,266,8.93960446,-79.972926137,Se realizaron 266 vuelos entre los aeropuertos de Mexico City (Mexico) y Panama (Panama) en Enero 2022
Paris,France,161,48.863697576,2.361657337,Se realizaron 161 vuelos entre los aeropuertos de Mexico City (Mexico) y Paris (France) en Enero 2022
Phoenix,United States,62,33.44825,-112.0758,Se realizaron 62 vuelos entre los aeropuertos de Mexico City (Mexico) y Phoenix (United States) en Enero 2022
Quito,Ecuador,65,-0.20567,-78.50887,Se realizaron 65 vuelos entre los aeropuertos de Mexico City (Mexico) y Quito (Ecuador) en Enero 2022
Sacramento,United States,18,38.57944,-121.49085,Se realizaron 18 vuelos entre los aeropuertos de Mexico City (Mexico) y Sacramento (United States) en Enero 2022
Salt Lake City,United States,60,40.76031,-111.88822,Se realizaron 60 vuelos entre los aeropuertos de Mexico City (Mexico) y Salt Lake City (United States) en Enero 2022
San Antonio,United States,318,29.42458,-98.49461,Se realizaron 318 vuelos entre los aeropuertos de Mexico City (Mexico) y San Antonio (United States) en Enero 2022
San Francisco,United States,194,37.77712,-122.41966,Se realizaron 194 vuelos entre los aeropuertos de Mexico City (Mexico) y San Francisco (United States) en Enero 2022
San Jose,Costa Rica,215,9.92975,-84.08569,Se realizaron 215 vuelos entre los aeropuertos de Mexico City (Mexico) y San Jose (Costa Rica) en Enero 2022
San Jose,United States,26,37.33865,-121.88542,Se realizaron 26 vuelos entre los aeropuertos de Mexico City (Mexico) y San Jose (United States) en Enero 2022
San Pedro Sula,Honduras,62,15.50395,-88.01573,Se realizaron 62 vuelos entre los aeropuertos de Mexico City (Mexico) y San Pedro Sula (Honduras) en Enero 2022
San Salvador,El Salvador,178,13.69967,-89.2068,Se realizaron 178 vuelos entre los aeropuertos de Mexico City (Mexico) y San Salvador (El Salvador) en Enero 2022
Santiago De Chile,Chile,66,-33.43722,-70.65002,Se realizaron 66 vuelos entre los aeropuertos de Mexico City (Mexico) y Santiago De Chile (Chile) en Enero 2022
Santo Domingo,Dominican Republic,62,18.47185,-69.89139,Se realizaron 62 vuelos entre los aeropuertos de Mexico City (Mexico) y Santo Domingo (Dominican Republic) en Enero 2022
Sao Paulo,Brazil,129,-23.56287,-46.65468,Se realizaron 129 vuelos entre los aeropuertos de Mexico City (Mexico) y Sao Paulo (Brazil) en Enero 2022
Seattle,United States,66,47.60357,-122.32945,Se realizaron 66 vuelos entre los aeropuertos de Mexico City (Mexico) y Seattle (United States) en Enero 2022
Seoul,South Korea,17,37.566,126.9784,Se realizaron 17 vuelos entre los aeropuertos de Mexico City (Mexico) y Seoul (South Korea) en Enero 2022
Tokyo,Japan,62,35.68945633,139.69171609,Se realizaron 62 vuelos entre los aeropuertos de Mexico City (Mexico) y Tokyo (Japan) en Enero 2022
Toronto,Canada,144,43.653524,-79.383907,Se realizaron 144 vuelos entre los aeropuertos de Mexico City (Mexico) y Toronto (Canada) en Enero 2022
Vancouver,Canada,148,49.261636,-123.11335,Se realizaron 148 vuelos entre los aeropuertos de Mexico City (Mexico) y Vancouver (Canada) en Enero 2022
Washington,United States,62,38.89037,-77.03196,Se realizaron 62 vuelos entre los aeropuertos de Mexico City (Mexico) y Washington (United States) en Enero 2022
Zaragoza,Spain,22,41.65183,-0.88114,Se realizaron 22 vuelos entre los aeropuertos de Mexico City (Mexico) y Zaragoza (Spain) en Enero 2022
Panama,Panama,19,8.93960446,-79.972926137,Se realizaron 19 vuelos entre los aeropuertos de Monterrey (Mexico) y Panama (Panama) en Enero 2022
San Antonio,United States,80,29.42458,-98.49461,Se realizaron 80 vuelos entre los aeropuertos de Monterrey (Mexico) y San Antonio (United States) en Enero 2022
Oakland,United States,36,37.80508,-122.27307,Se realizaron 36 vuelos entre los aeropuertos de Morelia (Mexico) y Oakland (United States) en Enero 2022
