,latitude,longitude,confidence,satellite,acq_date,daynight
447,30.04601,75.5864,56,A,2023-11-08,D
448,30.026,75.43707,78,A,2023-11-08,D
449,30.02458,75.42645,53,A,2023-11-08,D
450,30.09819,75.91021,65,A,2023-11-08,D
451,30.0766,75.74651,84,A,2023-11-08,D
452,30.06943,75.69239,83,A,2023-11-08,D
453,30.06369,75.64925,67,A,2023-11-08,D
454,30.06225,75.63849,55,A,2023-11-08,D
455,30.05652,75.59551,71,A,2023-11-08,D
456,30.11171,75.9416,81,A,2023-11-08,D
457,30.08861,75.76661,69,A,2023-11-08,D
458,30.02401,75.28586,60,A,2023-11-08,D
459,30.01255,75.20187,51,A,2023-11-08,D
460,29.9882,75.0246,56,A,2023-11-08,D
461,29.92783,74.59218,69,A,2023-11-08,D
462,29.92639,74.58195,56,A,2023-11-08,D
463,30.14418,76.11757,72,A,2023-11-08,D
464,30.0287,75.25269,59,A,2023-11-08,D
465,30.02726,75.24219,73,A,2023-11-08,D
466,30.15199,76.12098,57,A,2023-11-08,D
467,30.13496,75.98736,51,A,2023-11-08,D
468,30.13354,75.9763,76,A,2023-11-08,D
469,30.07697,75.54135,66,A,2023-11-08,D
470,29.99347,74.92133,61,A,2023-11-08,D
471,30.20424,76.46075,68,A,2023-11-08,D
472,30.2028,76.44921,53,A,2023-11-08,D
473,30.08603,75.53974,82,A,2023-11-08,D
474,30.04971,75.19922,52,A,2023-11-08,D
475,30.04403,75.15732,54,A,2023-11-08,D
476,30.02839,75.04254,55,A,2023-11-08,D
477,29.99593,74.74104,74,A,2023-11-08,D
478,30.21358,76.30671,58,A,2023-11-08,D
479,30.20346,76.22718,61,A,2023-11-08,D
480,30.17898,76.03645,64,A,2023-11-08,D
481,30.11323,75.53489,87,A,2023-11-08,D
482,30.15231,75.75986,62,A,2023-11-08,D
483,30.1423,75.68392,91,A,2023-11-08,D
484,30.14087,75.67311,71,A,2023-11-08,D
485,30.13515,75.62994,61,A,2023-11-08,D
486,30.17007,75.82371,54,A,2023-11-08,D
487,30.16863,75.81277,55,A,2023-11-08,D
488,30.09276,75.2452,64,A,2023-11-08,D
489,30.22119,76.14346,56,A,2023-11-08,D
490,30.20958,76.05393,87,A,2023-11-08,D
491,30.19944,75.97615,59,A,2023-11-08,D
492,30.1951,75.94299,51,A,2023-11-08,D
493,30.18355,75.85496,69,A,2023-11-08,D
494,30.15334,75.62671,62,A,2023-11-08,D
495,30.09603,75.20155,54,A,2023-11-08,D
496,30.086,75.12822,75,A,2023-11-08,D
497,30.08457,75.11777,85,A,2023-11-08,D
498,30.24948,76.28896,66,A,2023-11-08,D
499,30.17395,75.71159,66,A,2023-11-08,D
500,30.16675,75.65747,77,A,2023-11-08,D
501,30.13082,75.38985,78,A,2023-11-08,D
502,30.12938,75.37924,65,A,2023-11-08,D
503,30.10214,75.17893,62,A,2023-11-08,D
504,30.0634,74.89777,53,A,2023-11-08,D
505,30.06196,74.88743,64,A,2023-11-08,D
506,28.84477,67.5765,66,A,2023-11-08,D
507,28.84083,67.55634,73,A,2023-11-08,D
508,30.2544,76.25324,63,A,2023-11-08,D
509,30.23974,76.14027,95,A,2023-11-08,D
510,30.12835,75.30355,68,A,2023-11-08,D
511,30.12404,75.2719,63,A,2023-11-08,D
512,30.1025,75.11449,81,A,2023-11-08,D
513,30.01606,74.49535,66,A,2023-11-08,D
514,30.11175,75.11781,78,A,2023-11-08,D
515,30.11033,75.10736,64,A,2023-11-08,D
516,30.05344,74.69305,67,A,2023-11-08,D
517,28.83095,67.55401,74,A,2023-11-08,D
518,30.26407,76.21111,84,A,2023-11-08,D
519,30.23554,75.98685,73,A,2023-11-08,D
520,30.1802,75.56114,74,A,2023-11-08,D
521,30.17596,75.52895,59,A,2023-11-08,D
522,30.17454,75.51823,69,A,2023-11-08,D
523,30.16888,75.47544,55,A,2023-11-08,D
524,30.13631,75.2316,59,A,2023-11-08,D
525,30.07948,74.81495,67,A,2023-11-08,D
526,30.03361,74.48648,73,A,2023-11-08,D
527,30.22481,75.8308,53,A,2023-11-08,D
528,30.19922,75.63494,56,A,2023-11-08,D
529,30.1978,75.62415,73,A,2023-11-08,D
530,30.16942,75.40985,83,A,2023-11-08,D
531,30.168,75.39922,85,A,2023-11-08,D
532,30.12115,75.05186,63,A,2023-11-08,D
533,30.24254,75.89514,76,A,2023-11-08,D
534,30.22399,75.75268,89,A,2023-11-08,D
535,30.21117,75.65495,87,A,2023-11-08,D
536,30.2069,75.62253,55,A,2023-11-08,D
537,30.08727,74.73948,91,A,2023-11-08,D
538,30.08584,74.72919,67,A,2023-11-08,D
539,30.27469,76.07121,90,A,2023-11-08,D
540,30.26894,76.02654,81,A,2023-11-08,D
541,30.26751,76.0154,71,A,2023-11-08,D
542,30.20316,75.52409,79,A,2023-11-08,D
543,30.18037,75.35349,63,A,2023-11-08,D
544,30.17894,75.34289,82,A,2023-11-08,D
545,30.17467,75.31111,63,A,2023-11-08,D
546,30.16328,75.2267,66,A,2023-11-08,D
547,30.13477,75.01732,80,A,2023-11-08,D
548,30.08181,74.63503,78,A,2023-11-08,D
549,30.27818,76.02495,85,A,2023-11-08,D
550,30.27674,76.0138,78,A,2023-11-08,D
551,30.2753,76.00268,84,A,2023-11-08,D
552,30.158,75.12009,85,A,2023-11-08,D
553,30.15657,75.10962,79,A,2023-11-08,D
554,29.82206,72.81149,63,A,2023-11-08,D
555,30.2932,76.06802,76,A,2023-11-08,D
556,30.27731,75.94558,86,A,2023-11-08,D
557,30.27587,75.93451,89,A,2023-11-08,D
558,30.22559,75.55305,74,A,2023-11-08,D
559,30.21128,75.44598,54,A,2023-11-08,D
560,30.20985,75.43531,68,A,2023-11-08,D
561,30.1884,75.27615,77,A,2023-11-08,D
562,30.17268,75.16037,71,A,2023-11-08,D
563,30.17125,75.14988,60,A,2023-11-08,D
564,30.16696,75.11845,83,A,2023-11-08,D
565,30.16553,75.10798,81,A,2023-11-08,D
566,30.23898,75.58372,67,A,2023-11-08,D
567,30.22463,75.47639,55,A,2023-11-08,D
568,30.21316,75.39109,66,A,2023-11-08,D
569,29.85764,72.92258,59,A,2023-11-08,D
570,29.6607,71.67804,54,A,2023-11-08,D
571,30.34094,76.29097,92,A,2023-11-08,D
572,30.33948,76.27955,73,A,2023-11-08,D
573,30.31026,76.05364,65,A,2023-11-08,D
574,30.29283,75.92023,88,A,2023-11-08,D
575,30.26391,75.7011,77,A,2023-11-08,D
576,30.26247,75.69024,93,A,2023-11-08,D
577,30.25671,75.64688,76,A,2023-11-08,D
578,30.20211,75.24124,74,A,2023-11-08,D
579,30.20067,75.2307,69,A,2023-11-08,D
580,30.13751,74.77239,69,A,2023-11-08,D
581,30.13607,74.76208,59,A,2023-11-08,D
582,30.28461,75.7867,82,A,2023-11-08,D
583,30.28317,75.77576,89,A,2023-11-08,D
584,30.28027,75.75392,60,A,2023-11-08,D
585,30.23986,75.45178,63,A,2023-11-08,D
